Country Name,GDP
Aruba,
Africa Eastern and Southern,1485.307425
Afghanistan,507.1033919
Africa Western and Central,1772.339155
Angola,2809.626088
Albania,5355.847795
Andorra,40897.33087
Arab World,6403.540772
United Arab Emirates,43103.33629
Argentina,9912.281809
Armenia,4622.738182
American Samoa,11534.56754
Antigua and Barbuda,17113.34977
Australia,55057.2047
Austria,50121.55421
Azerbaijan,4805.753718
Burundi,261.2452912
Belgium,46414.43523
Benin,1219.515479
Burkina Faso,786.8954377
Bangladesh,1855.69151
Bulgaria,9828.148515
Bahrain,23443.43483
"Bahamas, The",34863.38405
Bosnia and Herzegovina,6120.112626
Belarus,6839.103833
Belize,5078.809944
Bermuda,117098.4463
Bolivia,3552.068144
Brazil,8897.48777
Barbados,18148.49785
Brunei Darussalam,31085.96189
Bhutan,3316.167022
Botswana,7970.796968
Central African Republic,467.9080218
Canada,46326.67264
Central Europe and the Baltics,16307.9582
Switzerland,85334.51946
Channel Islands,
Chile,14741.7144
China,10216.63033
Cote d'Ivoire,2276.332394
Cameroon,1507.449798
"Congo, Dem. Rep.",580.7168605
"Congo, Rep.",2359.177309
Colombia,6424.979492
Comoros,1370.140123
Cabo Verde,3603.775241
Costa Rica,12669.70608
Caribbean small states,10355.40768
Cuba,9099.673146
Curacao,19701.27038
Cayman Islands,91392.64259
Cyprus,28288.46158
Czech Republic,23660.14881
Germany,46794.89929
Djibouti,3414.935393
Dominica,8001.997095
Denmark,59775.7351
Dominican Republic,8282.117131
Algeria,3975.508993
East Asia & Pacific (excluding high income),8189.020316
Early-demographic dividend,3485.604626
East Asia & Pacific,11532.27544
Europe & Central Asia (excluding high income),8337.857422
Europe & Central Asia,24842.02393
Ecuador,6222.524653
"Egypt, Arab Rep.",3019.092283
Euro area,39168.66307
Eritrea,
Spain,29555.3157
Estonia,23397.12001
Ethiopia,855.7608852
European Union,35060.74641
Fragile and conflict affected situations,1818.83723
Finland,48678.31413
Fiji,6175.874841
France,40578.64429
Faroe Islands,64225.2649
"Micronesia, Fed. Sts.",3585.423202
Gabon,7767.016979
United Kingdom,42354.41465
Georgia,4697.983652
Ghana,2210.355923
Gibraltar,
Guinea,1058.143368
"Gambia, The",777.8152452
Guinea-Bissau,749.453747
Equatorial Guinea,8419.933336
Greece,19150.7862
Grenada,10815.91136
Greenland,
Guatemala,4638.634943
Guam,37723.78134
Guyana,6609.510431
High income,45406.63377
"Hong Kong SAR, China",48354.47337
Honduras,2574.356751
Heavily indebted poor countries (HIPC),987.7066737
Croatia,14944.35622
Haiti,1272.490699
Hungary,16733.32217
IBRD only,6461.789237
IDA & IBRD total,5142.094637
IDA total,1337.76133
IDA blend,1758.035927
Indonesia,4135.201531
IDA only,1127.588609
Isle of Man,
India,2100.751461
Not classified,
Ireland,80886.61574
"Iran, Islamic Rep.",3114.622753
Iraq,5658.492267
Iceland,68941.46223
Israel,43588.71315
Italy,33566.7873
Jamaica,5369.498371
Jordan,4405.487109
Japan,40777.6087
Kazakhstan,9812.595808
Kenya,1816.547124
Kyrgyz Republic,1374.031136
Cambodia,1643.121389
Kiribati,1655.050693
St. Kitts and Nevis,19773.46237
"Korea, Rep.",31846.21823
Kuwait,32373.25111
